cluster_id,type,canonical_normalized,canonical_provisional,variants,total_frequency,sources,identification,authority_ref,confidence
35,person,Henry,Henry,He rie | Henrie | Henry | Henry Lacy | Henry Pay | Henry Percie | Henry Percy | Henry Pomerey | Henrye | Henryes | Hery | Hotspore Henry Percie,565,vol4_index:565,,,
48,person,Iohn,Iohn,Iohn | Iohn Gray | Iohn Gy | Iohns,363,vol4_index:363,,,
20,person,Egelredus,Egelredus,Ecgbert | Edbert | Edelbert | Edelfers | Edelfert | Edelfred | Edelfride | Edelred | Edhirick | Edilred | Edredus | Edrick | Edricus | Edrieus | Edrodus | Egbert | Egberte | Egeleedus | Egelfred | Egelfrida | Egelred | Egelredes | Egelredus | Egerledus | Egilbert | Egricus | Eldred | Elfled | Elfleda | Elfrida | Eric | Erick | Erickes | Estric | Estrild | Estrilo | Ethe fleda | Ethelard | Ethelbert | Ethelberte | Ethelbright | Etheldred | Ethelferd | Ethelfert | Ethelfleda | Ethelfledas | Ethelfred | Ethelmere | Ethelred | Ethelreda | Eufled,230,vol4_index:230,,,
16,person,Edward,Edward,Edward | Edwarde | Edwardes | Edwards,223,vol4_index:223,,,
3,person,William,William,Willia | Willia Rufus | William | William Crispine | William Mandeuile | William Melton | William Montagew | William Moun | William Mountagew | William Neuil | William Neuill | William Paruus | William Peche | William Rius | William Rufus | William Smith | William White | Williams | Williliam | Willyam | Willyam Rufus | Wylliam | Wylliam Rufus | william Tankeruile,218,vol4_index:218,,,
37,person,Richard,Richard,Reuel Richard | Ricard | Richard | Richard Bourgh | Richard Clifford | Richard Exton | Richard For | Richard Guifford | Richard Neuel | Richard Neuile | Richard Pace | Richard Percie | Richarde | Richarde Scrope | Richardes | Richards | Riche Richard | Rychard | Rycharde,175,vol4_index:175,,,
111,person,Robert,Robert,Robart | Robert | Robert Broc | Robert Brock | Robert Brus | Robert Hal | Robert Holand | Robert Horne | Robert Huldorne | Robert Ret | Robert Veer | Roberte | Roberts,118,vol4_index:118,,,
196,person,Constantinus,Constantinus,Constance | Constans | Constantia | Constantines | Constantinus | Constantius | Costantinus | Costantius | Coynstance,109,vol4_index:109,,,
61,person,Alured,Alured,Albericke | Alberike | Alchfled | Alchfride | Aldred | Aldrede | Aldredus | Alered | Alferd | Alfled | Alfred | Alfreda | Alfrede | Alfredes | Alfreds | Alfride | Alfrike | Alfrikes | Alrick | Alrike | Alsd | Alsled | Altred | Alure | Alured | Alurede | Aluredes,90,vol4_index:90,,,
221,person,Maximianus,Maximianus,Marc | Marcell | Marcellinus | March | Marchades | Marcharus | Marchaus | Marcus | Marimus | Marius | Maximanus | Maximianus | Maximilian | Maximinianus | Maximinus | Maximius | Maximus,81,vol4_index:81,,,
0,person,Lewes,Lewes,Lewes,74,vol4_index:74,,,
12,person,Edwyn,Edwyn,Ed | Ed. | Edelwin | Edelwyn | Edw | Edwin | Edwine | Edwines | Edwyn | Edwyne | Egelsine | Egelson | Egelwine | Egelwinus | Egelwynus | Egwine,74,vol4_index:74,,,
36,person,Stephen,Stephen,Stephan | Stephanus | Stephe | Stephen | Stephons,69,vol4_index:69,,,
49,person,Arthur,Arthur,Arthur | Arthure | Arthures,69,vol4_index:69,,,
89,person,Thomas,Thomas,Tho. Rotheram | Thom. Gray | Thomas | Thomas Cramner | Thomas Cranmer | Thomas Eresham | Thomas Gargraue | Thomas Gray | Thomas Molineux | Thomas Moore | Thomas More | Thomas Morgan | Thomas Mowbrey | Thomas Ram | Thomas Rotheram | Thomas Southwel | Thomas Spot,66,vol4_index:66,,,
592,person,Harold,Harold,Harald | Harold | Harolde | Haroldes | Harolds | Harrolde,64,vol4_index:64,,,
31,person,Edmond,Edmond,Edmod | Edmond | Edmond Shaa | Edmonde | Edmondes | Edmund,60,vol4_index:60,,,
269,person,Cnute,Cnute,Canute | Canutus | Cnut | Cnute | Cnutes | Cnuto,60,vol4_index:60,,,
114,person,Brute,Brute,Bardus | Bertus | Bruce | Bruces | Brudus | Brute | Brutes | Brutus,49,vol4_index:49,,,
15,person,Aulafe,Aulafe,Adolfe | Adulf | Adulfe | Aldulfe | Aldulte | Aldwolfe | Anlafe | Ardulf | Ardulfe | Ardult | Arnulf | Arnulfe | Aulafe | Aulafus | Aulefe,48,vol4_index:48,,,
14,person,Adelstane,Adelstane,Adelslane | Adelstan | Adelstane | Adelstans | Adelste | Alstane | Athelstan,45,vol4_index:45,,,
